INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,gt_25k_05_p6
George C Wallace State Community College-Hanceville,Hanceville,AL,2,1,32.0,,,,,,,,,0.0,4904.0,0.875,0.0593,0.0273,0.0043,0.0075,0.0002,0.0,0.0069,0.0194,0.4052,6628.0,,0.5017,,0.6368,,0.5414,0.4174,0.3229,11330,125.7862265,0.606629393,,0.310233833,27800.0,0.512655079,1.0
Edgecombe Community College,Tarboro,NC,2,1,41.0,,,,,,,,,0.0,2524.0,0.3003,0.6589,0.017,0.0016,0.0048,0.0012,0.0055,0.0028,0.0079,0.4517,7354.0,,0.6522,,0.4216,,0.3524,0.1908,0.5954,10500,116.571525,0.312043796,,0.278911765,23100.0,0.407134086,0.0
Indiana University of Pennsylvania-Main Campus,Indiana,PA,3,1,32.0,485.0,495.0,475.0,20.0,,,,973.0,0.0,12405.0,0.7824,0.1047,0.0307,0.0094,0.0009,0.0002,0.0264,0.0316,0.0136,0.0418,19006.0,,0.36200000000000004,0.7340000000000001,,0.3,,0.7292,0.064,27000,299.75535,0.825832419,0.50693631,,38000.0,0.618010879,1.0
Howard Payne University,Brownwood,TX,3,2,33.0,470.0,485.0,,20.0,19.0,20.0,,953.0,0.0,1059.0,0.6516,0.0944,0.1974,0.0028,0.0028,0.0009,0.0349,0.0019,0.0132,0.0737,,17678.0,0.4253,0.6094,,0.5,,0.6664,0.0927,23412.5,259.9267456,0.729032258,0.427591623,,37300.0,0.535934269,1.0
Hiram College,Hiram,OH,3,2,31.0,515.0,515.0,495.0,22.0,21.0,22.0,,1030.0,0.0,1260.0,0.7079,0.1365,0.0357,0.0127,0.0008,0.004,0.0206,0.0381,0.0437,0.1143,,22008.0,0.4107,0.7566,,0.25,,0.7378,0.1777,27000,299.75535,0.812834225,0.637051981,,39000.0,0.658307195,1.0
Everest Institute-South Plainfield,South Plainfield,NJ,1,3,21.0,,,,,,,,,0.0,697.0,0.1492,0.4505,0.34,0.0258,0.0029,0.0014,0.0187,0.0,0.0115,0.0,,19816.0,0.6572,,0.6890000000000001,,,0.5402,0.3831,9500,105.469475,0.246345531,,0.591004069,21200.0,0.30776757,0.0
DuVall's School of Cosmetology,Bedford,TX,1,3,21.0,,,,,,,,,0.0,91.0,0.6923,0.0769,0.1319,0.033,0.011000000000000001,0.0,0.033,0.0,0.022000000000000002,0.1648,,17012.0,0.5519,,0.75,,1.0,0.6339,0.5385,7916,87.8838278,0.636363636,,0.767885714,,,
West Kentucky Community and Technical College,Paducah,KY,1,1,33.0,,,,,,,,,0.0,4648.0,0.8524,0.0863,0.0245,0.0065,0.0032,0.0004,0.0148,0.0006,0.0112,0.4935,5728.0,,0.4043,,0.6596,,0.439,0.2636,0.4227,11371,126.2414106,0.596048299,,0.46792586,27200.0,0.415557116,0.0
Massachusetts School of Professional Psychology,Newton,MA,4,2,13.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regency Beauty Institute-Carrollwood,Tampa,FL,1,3,21.0,,,,,,,,,0.0,17.0,0.1765,0.0588,0.1765,0.0,0.0,0.0588,0.2353,0.0,0.2941,0.0,,21275.0,0.7609,,0.6154,,,0.8043,0.2941,14144,157.0273952,0.47496977,,,,,
Empire Beauty School-Queens,Astoria,NY,1,3,11.0,,,,,,,,,0.0,215.0,0.1674,0.3488,0.3256,0.0233,0.0047,0.0093,0.0279,0.0,0.09300000000000001,0.2744,,15027.0,0.6832,,0.6731,,0.5833,0.551,0.4186,8275,91.86946375,0.669099757,,0.695458848,15000.0,0.235602096,0.0
Baker University,Baldwin City,KS,3,2,31.0,493.0,545.0,483.0,24.0,23.0,24.0,,1086.0,0.0,1759.0,0.7186,0.1086,0.0478,0.0125,0.0205,0.0051,0.0125,0.0028,0.0716,0.39399999999999996,,18100.0,0.3967,0.7574,,,,0.7634,0.4418,25291,280.7819466,0.845688351,0.534956379,,48900.0,0.775661349,1.0
Arkansas Beauty School,Little Rock,AR,1,3,12.0,,,,,,,,,0.0,37.0,0.0541,0.9459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703,,10167.0,1.0,,0.5714,,,1.0,0.7027,10500,116.571525,0.179104478,,0.602958824,,,
College of the Redwoods,Eureka,CA,2,1,41.0,,,,,,,,,0.0,2585.0,0.5938,0.0193,0.14,0.0282,0.07200000000000001,0.0151,0.0623,0.0,0.0692,0.5698,4547.0,,0.3874,,0.4145,,0.3349,0.0599,0.4293,8317,92.33574985,0.440658049,,0.167415611,25300.0,0.380991071,0.0
ITT Technical Institute-Madison,Madison,AL,2,3,21.0,,,,,,,,,0.0,372.0,0.5134,0.414,0.0269,0.0081,0.0108,0.0027,0.0161,0.0,0.0081,0.2823,,23990.0,0.7423,,,,,0.8240000000000001,0.7823,25833.5,286.8048087,0.394119686,,,38400.0,0.591855824,1.0
Massachusetts College of Art and Design,Boston,MA,3,1,11.0,550.0,525.0,540.0,25.0,,,,1081.0,0.0,1861.0,0.691,0.0253,0.0715,0.057999999999999996,0.0043,0.0027,0.0172,0.0285,0.1016,0.0994,21058.0,,0.2565,0.8438,,0.0,,0.5535,0.1807,26000,288.6533,0.850953206,0.688838935,,34000.0,0.479744136,0.0
Independence College of Cosmetology,Independence,MO,1,3,21.0,,,,,,,,,0.0,64.0,0.7344,0.1563,0.1094,0.0,0.0,0.0,0.0,0.0,0.0,0.2188,,10673.0,0.5161,,0.9167,,0.5,0.5403,0.4063,9715,107.8564158,0.52173913,,0.570567485,20300.0,0.271428585,0.0
Career Development Institute,Los Angeles,CA,1,3,11.0,,,,,,,,,0.0,69.0,0.1304,0.3043,0.4638,0.087,0.0,0.0145,0.0,0.0,0.0,0.5362,,,0.5481,,0.8462,,,0.6346,0.7246,,,,,,,,
Benedictine College,Atchison,KS,3,2,32.0,585.0,558.0,,25.0,26.0,24.0,,1145.0,0.0,1750.0,0.8023,0.0343,0.06,0.0109,0.004,0.0029,0.0309,0.0297,0.0251,0.0126,,21353.0,0.21,0.7676,,,,0.5618,0.0208,26250,291.4288125,0.892205638,0.588,,37800.0,0.605769217,1.0
University of Hawaii at Hilo,Hilo,HI,3,1,33.0,475.0,490.0,455.0,21.0,21.0,21.0,8.0,967.0,0.0,3335.0,0.239,0.0096,0.1112,0.1814,0.0042,0.1121,0.2909,0.0483,0.0033,0.1736,9749.0,,0.4532,0.6982,,0.3571,,0.4574,0.26899999999999996,19264,213.8698912,0.809480401,0.376715556,,34500.0,0.53403753,1.0
The Art Institute of Pittsburgh-Online Division,Pittsburgh,PA,2,3,11.0,,,,,,,,,1.0,10896.0,0.6238,0.1691,0.1035,0.0123,0.0145,0.0075,0.0,0.0,0.0693,0.9490000000000001,,26314.0,0.6955,0.32,,0.2472,,0.757,0.7169,40022,444.3262451,0.444234234,0.114311429,,29200.0,0.52108109,1.0
Empire Beauty School-Bangor,Bangor,ME,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9083,100.8399202,0.454248366,,,15500.0,0.222222224,0.0
Garrett College,McHenry,MD,2,1,42.0,,,,,,,,,0.0,586.0,0.6809,0.2372,0.0307,0.0,0.0,0.0034,0.0188,0.0137,0.0154,0.1399,6754.0,,0.5865,,0.4795,,0.3333,0.3975,0.1469,12290,136.4441945,0.497340426,,0.231850605,27300.0,0.454545468,0.0
LIU Brooklyn,Brooklyn,NY,3,2,11.0,450.0,470.0,445.0,20.0,21.0,20.0,8.0,921.0,0.0,4905.0,0.2014,0.3278,0.1586,0.1574,0.0039,0.0014,0.0104,0.0216,0.1174,0.1454,,23778.0,0.6039,0.589,,0.2727,,0.7197,0.2791,25000,277.55125,0.743295019,0.326671143,,46000.0,0.670961678,1.0
University of Akron Wayne College,Orrville,OH,2,1,41.0,,,,,,,,,0.0,1409.0,0.8879,0.0234,0.022000000000000002,0.0064,0.0043,0.0007,0.0206,0.0007,0.0341,0.45,10943.0,,0.3808,,0.608,,0.4691,0.4667,0.2792,26812,297.6681646,0.659897979,,0.146917691,34800.0,0.571988702,1.0
University of North Texas,Denton,TX,3,1,12.0,545.0,560.0,,24.0,23.0,23.0,,1100.0,0.0,31243.0,0.5114,0.1423,0.20600000000000002,0.0535,0.0052,0.0012,0.0313,0.0392,0.01,0.2278,10774.0,,0.3645,0.7503,,0.625,,0.5602,0.2361,20750,230.3675375,0.78355293,0.490979786,,42100.0,0.692987323,1.0
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,1,3,32.0,,,,,,,,,0.0,82.0,0.8902,0.0,0.0366,0.0122,0.061,0.0,0.0,0.0,0.0,0.0,,2413.0,0.4275,,0.75,,,0.4275,0.4146,8317.5,92.34130088,0.4,,0.7037,,,
Southwest Applied Technology Center,Cedar City,UT,1,1,33.0,,,,,,,,,0.0,158.0,0.6456,0.0,0.1329,0.0127,0.057,0.0127,0.0253,0.0,0.1139,0.7848,,,0.1655,,0.8571,,0.5833,0.0,0.2358,,,,,0.43335,,,
Empire Beauty School-Warminster,Warminster,PA,1,3,21.0,,,,,,,,,0.0,74.0,0.5811,0.1757,0.1081,0.0135,0.0,0.0,0.0,0.0,0.1216,0.2838,,14459.0,0.4885,,0.76,,1.0,0.5496,0.3919,8275,91.86946375,0.669099757,,0.615388889,23100.0,0.304878056,0.0
Stevens-Henager College-Ogden,West Haven,UT,2,2,21.0,,,,,,,,,0.0,320.0,0.9094,0.025,0.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19655.0,0.8696,0.6185,,,,0.9,0.6656,26336.5,292.3891398,0.314078675,0.525153425,,31700.0,0.478683621,0.0
