INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,gt_25k_05_p6
Black Hawk College,Moline,IL,2,1,13.0,,,,,,,,,0.0,4736.0,0.7145,0.1039,0.1153,0.0133,0.0017,0.0008,0.0281,0.0046,0.0177,0.4886,5503.0,,0.3426,,0.5873,,0.3814,0.1303,0.3742,6375,70.77556875,0.725090036,,0.2392,29000.0,0.450946629,0.0
Lees School of Cosmetology,North Little Rock,AR,1,3,13.0,,,,,,,,,0.0,27.0,0.7778,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12018.0,0.6486,,0.5556,,,0.4865,0.5185,,,0.209302326,,0.606751685,,,
Cosmetology Schools Inc,Stillwater,OK,1,3,32.0,,,,,,,,,0.0,18.0,0.8333,0.1111,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,,7575.0,0.5357,,0.7273,,,0.6607,0.2222,,,0.358490566,,0.88713871,,,
Bryant & Stratton College-Buffalo,Buffalo,NY,2,3,11.0,,,,,,,,,0.0,716.0,0.162,0.6759999999999999,0.0922,0.0,0.0056,0.0,0.0307,0.0014,0.0321,0.3729,,14866.0,0.8859,,,,,0.894,0.5851,24260.5,269.341284,0.307965432,0.140276471,,22300.0,0.406369179,0.0
Holy Apostles College and Seminary,Cromwell,CT,3,2,21.0,,,,,,,,,0.0,48.0,0.4583,0.0208,0.0833,0.0625,0.0,0.0,0.0,0.3333,0.0417,0.2708,,14420.0,0.2407,0.8571,,1.0,,0.3333,0.7241,,,,,,,,
University of Houston,Houston,TX,3,1,11.0,550.0,590.0,,25.0,24.0,25.0,,1136.0,0.0,30357.0,0.2843,0.1155,0.2998,0.2122,0.0015,0.0026,0.0311,0.0464,0.0067,0.2596,12822.0,,0.3879,0.8463,,0.7042,,0.4299,0.1935,20426,226.7704733,0.788099852,0.468494619,,48300.0,0.724969447,1.0
Stratford University,Fairfax,VA,2,3,21.0,,,,,,,,,0.0,2271.0,0.2175,0.6112,0.063,0.0392,0.0026,0.0026,0.0114,0.0053,0.0471,0.8098,,25221.0,0.6556,0.6279,,0.5677,,0.7676,0.7007,31550.5,350.2752285,0.525754885,0.13336,,36800.0,0.595469236,1.0
Appalachian Beauty School,South Williamson,KY,1,3,33.0,,,,,,,,,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7118.0,1.0,,0.6667,,,0.0,0.4211,,,,,0.756732432,,,
ITT Technical Institute-Springfield,Springfield,IL,0,3,12.0,,,,,,,,,0.0,202.0,0.6188,0.297,0.0347,0.0,0.0099,0.0,0.0297,0.0,0.0099,0.1386,,21437.0,0.8476,,,,,0.8762,0.6287,25833.5,286.8048087,0.394119686,,,,,
Universidad Adventista de las Antillas,Mayaguez,PR,3,2,22.0,,,,,,,,,0.0,1261.0,0.0071,0.0111,0.9524,0.0008,0.0,0.0,0.0,0.0285,0.0,0.0571,,7829.0,0.8195,0.8382,,1.0,,0.8896,0.223,15000,166.53075,0.577639752,0.312336909,,21600.0,0.367647052,0.0
Lake Technical Center,Eustis,FL,1,1,22.0,,,,,,,,,0.0,637.0,0.7253,0.1381,0.0942,0.0157,0.0031,0.0,0.0235,0.0,0.0,0.3281,8427.0,,0.3047,,0.7561,,0.7018,0.0,0.4851,,,,,0.716603901,24100.0,0.516666651,1.0
Trocaire College,Buffalo,NY,2,2,11.0,,,,,,,,,0.0,1384.0,0.6864,0.1474,0.0347,0.0123,0.0116,0.0014,0.0029,0.0022,0.1012,0.5123,,18159.0,0.5364,,,,,0.8129,0.4933,21439,238.01685,0.654676259,0.288894074,,36100.0,0.633699656,1.0
Saint Johns University,Collegeville,MN,3,2,41.0,543.0,553.0,518.0,26.0,24.0,26.0,7.0,1155.0,0.0,1871.0,0.8263,0.0315,0.0433,0.0294,0.0086,0.0021,0.0064,0.0524,0.0,0.0112,,22866.0,0.1947,0.8552,,,,0.6095,0.0059,27000,299.75535,0.963286713,0.782816438,,55900.0,0.798701286,1.0
Career Center of Southern Illinois,Red Bud,IL,1,1,42.0,,,,,,,,,0.0,90.0,0.6222,0.3222,0.0,0.0,0.0222,0.0,0.0,0.0,0.0333,0.0,16832.0,,0.5379999999999999,,1.0,,,0.6087,0.5556,14031.5,155.7784146,0.548076923,,0.833333333,40500.0,0.736842096,1.0
Acaydia School of Aesthetics,Provo,UT,1,3,12.0,,,,,,,,,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,,17680.0,0.3333,,1.0,,,0.359,,5500,61.061275,,,0.766241558,,,
Acadiana Technical College-Lafayette Campus,Lafayette,LA,1,1,12.0,,,,,,,,,0.0,1713.0,0.502,0.3987,0.0181,0.0128,0.0018,0.0018,0.0193,0.0047,0.0409,0.2878,7252.0,,0.4377,,0.6132,,0.4147,0.0,0.22699999999999998,,,,,0.480894607,27000.0,0.419159412,0.0
University of Central Missouri,Warrensburg,MO,3,1,32.0,,,,21.0,21.0,21.0,7.0,990.0,0.0,9160.0,0.6675,0.0823,0.0257,0.0074,0.0028,0.001,0.0245,0.0245,0.1644,0.1047,14903.0,,0.3814,0.6884,,0.12,,0.6299,0.1635,23450,260.3430725,0.790558871,0.511101774,,36600.0,0.630711615,1.0
Riverland Community College,Austin,MN,1,1,32.0,,,,,,,,,0.0,2509.0,0.8047,0.0482,0.0961,0.0112,0.0028,0.0008,0.0211,0.0143,0.0008,0.5281,10217.0,,0.3757,,0.594,,0.4589,0.4054,0.4371,,,0.624085163,,0.334042206,32000.0,0.555977225,1.0
Methodist College,Peoria,IL,3,2,12.0,,,,22.0,23.0,22.0,,1030.0,0.0,508.0,0.8346,0.0827,0.0236,0.0276,0.002,0.002,0.0236,0.0,0.0039,0.311,,29545.0,0.4716,0.6786,,,,0.8542,0.4173,30250,335.8370125,0.932835821,,,,,
Bradford School,Columbus,OH,2,3,21.0,,,,,,,,,0.0,449.0,0.6771,0.11800000000000001,0.0156,0.0045,0.0022,0.0022,0.0379,0.0,0.1425,0.0,,18710.0,0.6259,,0.8051,,,0.9426,0.245,14733,163.5665027,0.75282167,,0.723749872,25000.0,0.364116102,0.0
Texas Christian University,Fort Worth,TX,3,2,11.0,580.0,600.0,590.0,27.0,,,,1206.0,0.0,8597.0,0.738,0.0512,0.1059,0.0224,0.0098,0.0026,0.0077,0.0455,0.017,0.0335,,31257.0,0.1447,0.9021,,1.0,,0.3421,0.0521,22500,249.796125,0.91053787,0.756035619,,49100.0,0.783637583,1.0
Dewey University-Fajardo,Fajardo,PR,1,2,23.0,,,,,,,,,0.0,188.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7321.0,0.9495,,0.6885,,,0.0,0.5638,,,,,0.76897386,16200.0,0.20184578,0.0
Amherst College,Amherst,MA,3,2,21.0,715.0,725.0,715.0,32.0,33.0,32.0,,1434.0,0.0,1785.0,0.4174,0.1165,0.1283,0.1255,0.0011,0.0,0.055999999999999994,0.0958,0.0594,0.0,,19449.0,0.1998,0.9762,,,,0.1321,0.0123,11185.5,124.1819803,0.926701571,0.952425,,56800.0,0.663461566,1.0
Margaret's Hair Academy Inc,Monticello,AR,1,3,33.0,,,,,,,,,0.0,65.0,0.5846,0.3077,0.0769,0.0154,0.0,0.0,0.0,0.0,0.0154,0.0,,10884.0,0.9634,,0.6923,,,0.5854,0.3077,4786,53.1344113,0.777777778,,0.555564444,,,
The Art Institute of California-Argosy University San Diego,San Diego,CA,3,3,11.0,,,,,,,,,0.0,1869.0,0.0214,0.0075,0.3317,0.008,0.0011,0.0,0.0,0.0005,0.6297,0.2156,,24859.0,0.6185,0.6204,,0.1875,,0.6776,0.465,14323,159.0146622,0.370393247,0.415116358,,38200.0,0.698424041,1.0
Brittany Beauty School,Levittown,NY,1,3,21.0,,,,,,,,,0.0,144.0,0.5833,0.0625,0.1944,0.0208,0.0,0.0972,0.0139,0.0,0.0278,0.2292,,15302.0,0.5598,,0.825,,0.3333,0.8291,0.5694,8075,89.64905375,0.52559727,,0.770940645,21300.0,0.230769232,0.0
Empire Beauty School-Hanover Park,Hanover Park,IL,1,3,21.0,,,,,,,,,0.0,81.0,0.4938,0.1358,0.3086,0.0123,0.0,0.0,0.0,0.0,0.0494,0.4198,,13209.0,0.6765,,0.7619,,0.6,0.6397,0.4444,9083,100.8399202,0.454248366,,0.508750877,,0.321428567,0.0
Yeshiva Gedolah Zichron Leyma,Linden,NJ,3,2,21.0,,,,,,,,,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7050.0,0.3462,0.6667,,,,0.0,0.0435,,,,,,,,
Columbia College,Centreville,VA,1,3,21.0,,,,,,,,,0.0,147.0,0.0408,0.0272,0.2585,0.4014,0.0,0.0,0.0,0.2721,0.0,0.1361,,3459.0,0.7611,,0.7865,,0.8,0.031,0.9116,4367,48.48265235,,,,,,
Montcalm Community College,Sidney,MI,2,1,42.0,,,,,,,,,0.0,1643.0,0.8716,0.0037,0.0134,0.0043,0.0067,0.0,0.0183,0.0018,0.0803,0.605,6950.0,,0.6778,,0.5248,,0.4831,0.4092,0.3956,11950,132.6694975,0.587563452,,0.169147478,27300.0,0.362378985,0.0
Paul Mitchell the School-Reno,Reno,NV,1,3,12.0,,,,,,,,,0.0,211.0,0.7583,0.0047,0.1137,0.0,0.0142,0.0,0.0995,0.0,0.0095,0.2701,,15720.0,0.4087,,0.8889,,0.6667,0.5139,0.2986,12000,133.2246,,,,,,
Ross Medical Education Center-Morgantown,Morgantown,WV,1,3,23.0,,,,,,,,,0.0,84.0,0.7976,0.0714,0.0238,0.0119,0.0,0.0,0.0476,0.0,0.0476,0.0,,20358.0,0.6529,,0.6471,,,0.6694,0.5,9500,105.469475,0.490923441,,,,,
Vatterott College-St Charles,St Charles,MO,1,3,13.0,,,,,,,,,0.0,305.0,0.7541,0.1672,0.0,0.0,0.0131,0.0,0.0164,0.0,0.0492,0.0,,18418.0,0.3276,,0.6176,,,0.26899999999999996,0.6361,23116,256.6349878,0.275681482,,0.7311,28700.0,0.4401384,0.0
New England Tractor Trailer Training School of CT-Bridgeport,Bridgeport,CT,1,3,12.0,,,,,,,,,0.0,259.0,0.0502,0.2008,0.7297,0.0,0.0,0.0,0.0,0.0193,0.0,0.0888,,9107.0,0.6661,,,,,0.5954,0.7761,6119.5,67.93899498,0.511099366,,,,,
Westmoreland County Community College,Youngwood,PA,2,1,41.0,,,,,,,,,0.0,5471.0,0.9174,0.0386,0.015,0.0069,0.0015,0.0011,0.0196,0.0,0.0,0.4743,3661.0,,0.4219,,0.5883,,0.3587,0.34,0.3668,,,0.679480779,,0.192589073,29300.0,0.473949581,0.0
Marinello Schools of Beauty-Visalia,Visalia,CA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,113.0299711,0.585903084,,,,,
The Salon Professional Academy-Colorado Springs,Colorado Springs,CO,1,3,11.0,,,,,,,,,0.0,86.0,0.6279,0.0349,0.1163,0.0349,0.0116,0.0,0.1628,0.0116,0.0,0.3372,,14828.0,0.48,,1.0,,,0.5920000000000001,0.3953,12000,133.2246,,,0.65069726,,,
Cape Fear Community College,Wilmington,NC,2,1,12.0,,,,,,,,,0.0,8798.0,0.7296,0.1501,0.0468,0.0091,0.009000000000000001,0.0024,0.0243,0.0008,0.0278,0.499,9972.0,,0.4565,,0.5832,,0.4145,0.2347,0.3964,11000,122.12255,0.562545721,,0.233519241,26500.0,0.427857578,0.0
La'James International College,Fremont,NE,1,3,32.0,,,,,,,,,0.0,33.0,0.7879,0.0303,0.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12550.0,0.7455,,0.6923,,,0.7636,0.2424,12835,142.4948118,0.5,,0.639573256,16000.0,0.189999998,0.0
PJ's College of Cosmetology-Clarksville,Clarksville,IN,1,3,21.0,,,,,,,,,0.0,116.0,0.8707,0.0948,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.1897,,12102.0,0.4298,,1.0,,1.0,0.4936,0.2845,13833,153.5746577,0.401913876,,0.336636634,15800.0,0.142857149,0.0
Gemological Institute of America-Carlsbad,Carlsbad,CA,1,2,12.0,,,,,,,,,0.0,192.0,0.3646,0.0104,0.0573,0.0625,0.0052,0.0,0.0104,0.0,0.4896,0.0,,30560.0,0.0933,,,,,0.1995,0.401,9516,105.6471078,0.974789916,,0.976593645,38800.0,0.65882355,1.0
Erie Business Center-Erie,Erie,PA,1,3,12.0,,,,,,,,,0.0,208.0,0.6154,0.2981,0.0288,0.0096,0.0,0.0096,0.0144,0.0,0.024,0.4135,,8505.0,0.8481,,0.5366,,0.5417,0.903,0.6316,17199,190.944158,0.320441989,,0.554964,23200.0,0.284289271,0.0
Minneapolis Community and Technical College,Minneapolis,MN,2,1,11.0,,,,,,,,,0.0,8938.0,0.414,0.3124,0.0916,0.0591,0.0159,0.0009,0.0839,0.0159,0.0064,0.6275,14467.0,,0.5723,,0.5207,,0.384,0.5258,0.5382,17520,194.507916,0.480524416,,0.150405589,32800.0,0.522653699,1.0
Fort Berthold Community College,New Town,ND,2,1,43.0,,,,,,,,,0.0,181.0,0.0608,0.0055,0.0221,0.0055,0.9061,0.0,0.0,0.0,0.0,0.326,6915.0,,0.3317,1.0,,,,0.0,0.4433,,,,0.19765814,,20600.0,0.386363626,0.0
Everest Institute-Gahanna,Gahanna,OH,1,3,21.0,,,,,,,,,0.0,462.0,0.4394,0.4372,0.0303,0.0022,0.0043,0.0022,0.0606,0.0,0.0238,0.0,,24885.0,0.784,,0.4035,,,0.6139,0.5108,9500,105.469475,0.233747524,,0.577580677,24800.0,0.360134006,0.0
Miller-Motte Technical College-Chattanooga,Chattanooga,TN,1,3,12.0,,,,,,,,,0.0,442.0,0.7466,0.1403,0.0633,0.0,0.0045,0.0,0.009000000000000001,0.0,0.0362,0.3778,,20780.0,0.8194,,0.75,,0.375,0.8307,0.5566,22091,245.2553866,0.400491865,,0.595940404,22800.0,0.352101803,0.0
Santiago Canyon College,Orange,CA,1,1,12.0,,,,,,,,,0.0,10055.0,0.3776,0.0202,0.4505,0.0654,0.0025,0.0033,0.0362,0.0036,0.0407,0.8113,3136.0,,0.1167,,0.7191,,0.4687,0.0128,0.3358,,,0.601092896,,0.377777995,,0.54838711,1.0
Toni & Guy Hairdressing Academy-Atlanta,Marietta,GA,1,3,13.0,,,,,,,,,0.0,78.0,0.7564,0.1667,0.0513,0.0128,0.0,0.0,0.0128,0.0,0.0,0.0,,14208.0,0.6783,,0.75,,,0.7483,0.359,9833,109.1664577,,,0.82858,17200.0,0.206521735,0.0
Our Lady of Holy Cross College,New Orleans,LA,3,2,11.0,,,,,,,,,0.0,842.0,0.5285,0.2637,0.0606,0.0404,0.0059,0.0,0.0333,0.0,0.0677,0.3812,,12151.0,0.4573,0.7119,,0.6667,,0.6594,0.4465,30158.5,334.8211749,0.804347826,0.257876842,,39100.0,0.748251736,1.0
Platt College-Aurora,Aurora,CO,3,3,11.0,,,,,,,,,0.0,209.0,0.7656,0.0239,0.1053,0.0335,0.0096,0.0096,0.0335,0.0,0.0191,0.0,,39042.0,0.5792,1.0,,,,0.797,0.7368,42634,473.3247997,0.745283019,0.367660294,,32600.0,0.637362659,1.0
Key College,Dania Beach,FL,2,3,21.0,,,,,,,,,0.0,68.0,0.5882,0.2206,0.1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17195.0,0.4615,,0.6296,,,0.9615,0.6471,,,0.605263158,,0.5,33000.0,0.5,0.0
Baldwin Beauty School-North Austin,Austin,TX,1,3,11.0,,,,,,,,,0.0,79.0,0.5443,0.1519,0.1899,0.0127,0.0,0.0,0.0506,0.0,0.0506,0.0,,9998.0,0.521,,0.7157,,,0.0,0.4304,,,,,0.751581988,22200.0,0.314285725,0.0
The University of Tennessee-Martin,Martin,TN,3,1,33.0,,,,23.0,23.0,21.0,,1050.0,0.0,6554.0,0.7601,0.1688,0.0214,0.0038,0.0026,0.0,0.0174,0.0259,0.0,0.0969,6933.0,,0.4709,0.6994,,0.0,,0.5605,0.1888,23750,263.6736875,0.714640199,0.476437173,,34800.0,0.554253995,1.0
ITT Technical Institute-Tucson,Tucson,AZ,2,3,21.0,,,,,,,,,0.0,409.0,0.4034,0.0538,0.3716,0.0171,0.0733,0.0049,0.0391,0.0,0.0367,0.2543,,22313.0,0.7304,,,,,0.7674,0.7457,25833.5,286.8048087,0.394119686,0.198269828,,38400.0,0.591855824,1.0
Fremont College,Los Angeles,CA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,222.041,0.477922078,,,32600.0,0.411764711,0.0
PCI College,Cerritos,CA,1,3,21.0,,,,,,,,,0.0,104.0,0.2019,0.0962,0.6058,0.0385,0.0096,0.0,0.0096,0.0,0.0385,0.0,,14668.0,0.7885,,0.8182,,,0.609,0.3654,7370,81.8221085,0.380952381,,0.609754878,41800.0,0.381294966,0.0
Southern Arkansas University Tech,Camden,AR,1,1,42.0,,,,,,,,,0.0,894.0,0.5861,0.3546,0.0213,0.0011,0.0056,0.0,0.0213,0.0034,0.0067,0.2729,10119.0,,0.322,,0.5742,,0.4722,0.2262,0.2462,5500,61.061275,0.444794953,,0.486055116,26800.0,0.456140339,0.0
Herzing University-Kenosha,Kenosha,WI,2,3,22.0,,,,,,,,,0.0,427.0,0.6651,0.1452,0.1288,0.0141,0.0047,0.0023,0.0281,0.0047,0.006999999999999999,0.45899999999999996,,19147.0,0.6793,0.6522,,,,0.7962,0.6869,22822,253.3709851,0.474266474,,,42300.0,0.596551716,1.0
Concordia University-Portland,Portland,OR,3,2,11.0,495.0,500.0,,21.0,21.0,21.0,,993.0,0.0,1378.0,0.5435,0.0588,0.0689,0.0653,0.0203,0.0058,0.0065,0.0225,0.2083,0.1393,,19866.0,0.4485,0.7073,,0.0,,0.74,0.2839,26740,296.868817,0.854368932,0.500001639,,41800.0,0.665024638,1.0
Carrington College-Spokane,Spokane,WA,1,3,13.0,,,,,,,,,0.0,538.0,0.8011,0.0353,0.0781,0.0112,0.026000000000000002,0.0037,0.0297,0.0,0.0149,0.0,,24304.0,0.6368,,0.7167,,,0.5375,0.5483,8824,97.9644892,0.590633831,,0.696985476,29100.0,0.473595977,0.0
Oakland City University,Oakland City,IN,3,2,32.0,480.0,490.0,465.0,22.0,20.0,21.0,,988.0,0.0,587.0,0.7683,0.0579,0.0204,0.0051,0.0034,0.0017,0.0102,0.063,0.0698,0.2147,,15629.0,0.1264,0.79,,0.75,,0.1337,0.0576,17000,188.73485,0.701949861,0.665049505,,33700.0,0.565789461,1.0
Three Rivers Community College,Poplar Bluff,MO,2,1,33.0,,,,,,,,,0.0,3087.0,0.8309,0.1192,0.0168,0.0058,0.0058,0.001,0.0,0.0003,0.0201,0.3298,7094.0,,0.6246,,0.5515,,0.3778,0.2591,0.3846,10500,116.571525,0.520562771,,0.249381689,26400.0,0.385004222,0.0
New Mexico State University-Alamogordo,Alamogordo,NM,2,1,41.0,,,,,,,,,0.0,1379.0,0.5272,0.0522,0.293,0.0189,0.0341,0.0022,0.0225,0.0239,0.0261,0.3756,4261.0,,0.526,,0.5,,0.2029,0.4015,0.4959,19500,216.489975,0.615059337,,0.125019531,33800.0,0.489753246,0.0
Marinello School of Beauty-Murrieta,Murrieta,CA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9960,110.576418,0.264615385,,,,,
Bryant & Stratton College-Hampton,Hampton,VA,2,3,12.0,,,,,,,,,0.0,641.0,0.1123,0.83,0.025,0.0,0.0016,0.0016,0.0296,0.0,0.0,0.5148,,15497.0,0.8387,0.5,,,,0.8227,0.5772,24260.5,269.341284,0.307965432,,,22300.0,0.406369179,0.0
International College of Cosmetology,Oakland,CA,1,3,11.0,,,,,,,,,0.0,179.0,0.0223,0.0726,0.1788,0.6648,0.0,0.0,0.0,0.0447,0.0168,0.419,,,0.3114,,0.9773,,1.0,0.0,0.6425,,,,,0.9097,,,
Truman State University,Kirksville,MO,3,1,33.0,610.0,595.0,,28.0,28.0,26.0,,1243.0,0.0,5482.0,0.8161,0.0327,0.0292,0.0177,0.0022,0.0007,0.0217,0.0609,0.0188,0.0308,12703.0,,0.1895,0.8740000000000001,,0.5882,,0.43700000000000006,0.0159,21894,243.0682827,0.932090546,0.726024973,,42700.0,0.681488216,1.0
Phagans Tigard Beauty School,Tigard,OR,1,3,21.0,,,,,,,,,0.0,27.0,0.8519,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.0,,14676.0,0.7903,,0.875,,,0.8226,0.3704,20000,222.041,0.525423729,,0.566062264,,,
Ross Medical Education Center-New Baltimore,New Baltimore,MI,1,3,21.0,,,,,,,,,0.0,116.0,0.8448,0.0517,0.0517,0.0,0.0172,0.0,0.0086,0.0,0.0259,0.0,,17742.0,0.4279,,0.7667,,,0.4677,0.5431,9500,105.469475,0.490923441,,0.772911554,24600.0,0.345454544,0.0
Wolford College,Naples,FL,4,3,21.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiamichi Technology Center-Stigler,Stigler,OK,1,1,33.0,,,,,,,,,0.0,16.0,0.6875,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.4375,2888.0,,0.1139,,0.7917,,0.375,0.0,0.0625,,,,,0.206342857,22100.0,0.386329859,0.0
North Arkansas College,Harrison,AR,1,1,33.0,,,,,,,,,0.0,1885.0,0.9082,0.0005,0.0472,0.0021,0.0048,0.0005,0.0302,0.0042,0.0021,0.4297,4094.0,,0.6147,,0.5077,,0.3731,0.2661,0.3862,11500,127.673575,0.50982962,,0.2071,25500.0,0.382746041,0.0
Texas Health School,Houston,TX,1,3,11.0,,,,,,,,,0.0,178.0,0.2921,0.3539,0.2978,0.0449,0.0056,0.0,0.0,0.0,0.0056,0.1292,,14530.0,0.2785,,0.8689,,0.7333,0.2283,0.5674,6300,69.942915,0.643678161,,0.868568041,,0.262295067,0.0
The Salon Professional Academy-Melbourne,Melbourne,FL,1,3,13.0,,,,,,,,,0.0,99.0,0.8081,0.1212,0.0404,0.0101,0.0,0.0,0.0,0.0,0.0202,0.10099999999999999,,14759.0,0.8846,,0.8857,,0.5833,0.8365,0.4444,10000,111.0205,0.404958678,,0.730761538,,0.125,0.0
Academy of Hair Technology,Greenville,SC,1,3,21.0,,,,,,,,,0.0,84.0,0.8095,0.0595,0.0357,0.0952,0.0,0.0,0.0,0.0,0.0,0.25,,14365.0,0.4207,,0.8,,0.8,0.4573,0.5,7600,84.37558,0.539325843,,0.522872589,15300.0,0.230769232,0.0
Bryan College of Health Sciences,Lincoln,NE,3,2,11.0,,,,23.0,24.0,22.0,,1070.0,0.0,593.0,0.9157,0.0169,0.0337,0.0202,0.0051,0.0,0.0084,0.0,0.0,0.4975,,22833.0,0.3574,0.8286,,0.7143,,0.7082,0.3174,26210,290.9847305,0.934640523,,,50500.0,0.912280679,1.0
Buck's County School of Beauty Culture Inc,Feasterville,PA,1,3,21.0,,,,,,,,,0.0,89.0,0.8539,0.0449,0.0449,0.0,0.0225,0.0,0.0,0.0112,0.0225,0.1236,,4142.0,0.3645,,0.8889,,0.5,0.5607,0.4494,8028,89.1272574,0.871794872,,0.850877193,26400.0,0.266666681,0.0
The University of Texas at Austin,Austin,TX,3,1,11.0,610.0,650.0,615.0,28.0,29.0,29.0,8.0,1262.0,0.0,39323.0,0.4754,0.0429,0.2182,0.1792,0.0022,0.0011,0.0314,0.0465,0.0032,0.0693,15721.0,,0.2683,0.9363,,0.7679,,0.4008,0.0508,22165,246.0769383,0.902402241,0.790563017,,52800.0,0.766478062,1.0
Virginia Marti College of Art and Design,Lakewood,OH,2,3,21.0,,,,,,,,,0.0,168.0,0.5655,0.3333,0.0536,0.006,0.0,0.0,0.0417,0.0,0.0,0.4405,,21299.0,0.5532,,0.7059,,,0.7340000000000001,0.289,26320,292.205956,0.551111111,,0.431179817,27700.0,0.512658238,1.0
Kaplan University-Maine Campus,S Portland,ME,2,3,13.0,,,,,,,,,0.0,977.0,0.8997,0.042,0.0317,0.0041,0.0082,0.0051,0.0,0.0,0.0092,0.5374,,16243.0,0.7244,0.3333,,1.0,,0.7276,0.752,30500,338.612525,0.356806698,0.213910029,,34400.0,0.552190602,1.0
Shear Excellence Hair Academy,Tampa,FL,1,3,21.0,,,,,,,,,0.0,103.0,0.0874,0.3592,0.5437,0.0,0.0,0.0,0.0,0.0,0.0097,0.1845,,18595.0,0.6744,,0.75,,1.0,0.5039,0.6019,9500,105.469475,0.258278146,,0.499980412,,,
Galen College of Nursing-Tampa Bay,Saint Petersburg,FL,2,3,12.0,,,,,,,,,0.0,790.0,0.6506,0.1481,0.0544,0.0139,0.0013,0.0,0.0215,0.0025,0.1076,0.4595,,21192.0,0.5356,,0.4706,,,0.7946,0.7278,20890,231.9218245,0.675230061,,0.621629314,35200.0,0.749732614,1.0
Carrington College-Phoenix Westside,Phoenix,AZ,2,3,11.0,,,,,,,,,0.0,513.0,0.4971,0.0897,0.2729,0.0448,0.0448,0.0097,0.0117,0.0,0.0292,0.3021,,28334.0,0.6357,,0.6154,,,0.5349,0.6452,9500,105.469475,0.475178297,,0.63693535,26200.0,0.432048112,0.0
Worcester State University,Worcester,MA,3,1,12.0,500.0,515.0,495.0,22.0,22.0,22.0,,1016.0,0.0,5033.0,0.7409,0.059000000000000004,0.0789,0.0358,0.0054,0.0008,0.0232,0.0121,0.0439,0.1866,14402.0,,0.271,0.8028,,0.3333,,0.5427,0.221,19503,216.5232812,0.84217093,0.498862082,,43700.0,0.702702701,1.0
Hohokus School-RETS Nutley,Nutley,NJ,1,3,21.0,,,,,,,,,0.0,579.0,0.2902,0.2383,0.4249,0.0104,0.0017,0.0035,0.0,0.0,0.0311,0.0,,20097.0,0.5589,,0.8282,,,0.6778,0.5492,9500,105.469475,0.531319911,,0.80318883,36600.0,0.530026138,1.0
Universidad Pentecostal Mizpa,Rio Piedras,PR,3,2,11.0,,,,,,,,,0.0,355.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5915,,5900.0,0.7412,0.7778,,1.0,,0.0,0.872,,,,0.25,,,,
Micropower Career Institute,New York,NY,1,3,11.0,,,,,,,,,0.0,359.0,0.039,0.7159,0.1783,0.039,0.0167,0.0,0.0,0.0,0.0111,0.0,,12728.0,0.5097,,0.7573,,,0.4903,0.7103,6509,72.26324345,0.460227273,,0.715796043,,,
William Paterson University of New Jersey,Wayne,NJ,3,1,21.0,495.0,515.0,,,,,,1010.0,0.0,9930.0,0.4658,0.1392,0.2428,0.0645,0.0011,0.0039,0.0216,0.0089,0.0524,0.1694,15927.0,,0.3959,0.748,,0.6,,0.6629,0.1953,25382,281.7922331,0.813118462,0.488715137,,44300.0,0.652888894,1.0
